Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kota
2300000000,BSD,3,2,2,200,105, TANGERANG
2000000000,PONDOK BAMBU,3,3,1,79,200, JAKARTA TIMUR
2650000000,PURI MANSION,3,3,1,90,140, JAKARTA BARAT
4600000000,BSD GIRI LOKA,6,4,1,360,300, TANGERANG
1000000000,GADING SERPONG,2,2,1,48,48, TANGERANG
745000000,CILODONG,2,2,1,74,50, DEPOK
1550000000,JAGAKARSA,4,3,1,60,145, JAKARTA SELATAN
1800000000,SUMMARECON SERPONG,3,2,1,105,114, TANGERANG
4200000000,SUNTER,4,3,1,108,180, JAKARTA UTARA
3800000000,TAMAN SURYA,5,2,2,200,160, JAKARTA BARAT
843000000,SAWANGAN,2,1,1,85,40, DEPOK
1350000000,PASIRMULYA,5,3,1,160,200, BOGOR
3600000000,KELAPA GADING,5,3,1,152,238, JAKARTA UTARA
799000000,CILODONG,3,2,1,72,66, DEPOK
1200000000,SUNTER,2,2,1,32,55, JAKARTA UTARA
1300000000,GADING SERPONG,3,2,1,52,52, TANGERANG
800000000,CILODONG,3,2,1,72,66, DEPOK
947000000,CILODONG,2,3,1,60,80, DEPOK
1200000000,CINANGKA,3,3,2,95,107, DEPOK
845000000,CINERE,2,1,1,85,40, DEPOK
2300000000,BSD,3,2,2,200,105, TANGERANG
2000000000,PONDOK BAMBU,3,3,1,79,200, JAKARTA TIMUR
2650000000,PURI MANSION,3,3,1,90,140, JAKARTA BARAT
4600000000,BSD GIRI LOKA,6,4,1,360,300, TANGERANG
1000000000,GADING SERPONG,2,2,1,48,48, TANGERANG
745000000,CILODONG,2,2,1,74,50, DEPOK
1550000000,JAGAKARSA,4,3,1,60,145, JAKARTA SELATAN
1800000000,SUMMARECON SERPONG,3,2,1,105,114, TANGERANG
4200000000,SUNTER,4,3,1,108,180, JAKARTA UTARA
3800000000,TAMAN SURYA,5,2,2,200,160, JAKARTA BARAT
843000000,SAWANGAN,2,1,1,85,40, DEPOK
1350000000,PASIRMULYA,5,3,1,160,200, BOGOR
3600000000,KELAPA GADING,5,3,1,152,238, JAKARTA UTARA
799000000,CILODONG,3,2,1,72,66, DEPOK
1200000000,SUNTER,2,2,1,32,55, JAKARTA UTARA
1300000000,GADING SERPONG,3,2,1,52,52, TANGERANG
800000000,CILODONG,3,2,1,72,66, DEPOK
947000000,CILODONG,2,3,1,60,80, DEPOK
1200000000,CINANGKA,3,3,2,95,107, DEPOK
845000000,CINERE,2,1,1,85,40, DEPOK
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
2300000000,BSD,3,2,2,200,105, TANGERANG
2000000000,PONDOK BAMBU,3,3,1,79,200, JAKARTA TIMUR
2650000000,PURI MANSION,3,3,1,90,140, JAKARTA BARAT
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
2300000000,BSD,3,2,2,200,105, TANGERANG
2000000000,PONDOK BAMBU,3,3,1,79,200, JAKARTA TIMUR
2650000000,PURI MANSION,3,3,1,90,140, JAKARTA BARAT
965000000,BOGOR BARAT,3,2,2,95,90, BOGOR
750000000,CIBUBUR,2,1,1,90,70, BOGOR
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
2300000000,BSD,3,2,2,200,105, TANGERANG
965000000,BOGOR BARAT,3,2,2,95,90, BOGOR
750000000,CIBUBUR,2,1,1,90,70, BOGOR
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
2300000000,BSD,3,2,2,200,105, TANGERANG
965000000,BOGOR BARAT,3,2,2,95,90, BOGOR
750000000,CIBUBUR,2,1,1,90,70, BOGOR
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
2300000000,BSD,3,2,2,200,105, TANGERANG
740000000,JATI ASIH,2,1,0,72,45, BEKASI
965000000,BOGOR BARAT,3,2,2,95,90, BOGOR
750000000,CIBUBUR,2,1,1,90,70, BOGOR
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
1850000000,BSD KENCANA LOKA,3,3,1,83,110, TANGERANG
1470000000,CIBUBUR,3,3,1,65,118, JAKARTA TIMUR
2350000000,BSD THE SAVIA,4,3,0,105,165, TANGERANG
895000000,TANJUNG PRIOK,2,2,1,32,54, JAKARTA UTARA
3300000000,BSD GIRI LOKA,3,3,0,240,200, TANGERANG
3200000000,CIBUBUR,5,3,2,278,250, JAKARTA TIMUR
740000000,JATI ASIH,2,1,0,72,45, BEKASI
965000000,BOGOR BARAT,3,2,2,95,90, BOGOR
750000000,CIBUBUR,2,1,1,90,70, BOGOR
2900000000,DAAN MOGOT,4,3,2,90,120, JAKARTA BARAT
4500000000,PANTAI INDAH KAPUK,3,3,2,100,200, JAKARTA UTARA
950000000,CIRACAS,3,2,1,45,64, JAKARTA TIMUR
4250000000,DUREN SAWIT,4,3,2,145,250, JAKARTA TIMUR
1500000000,TANJUNG DUREN,4,1,0,77,100, JAKARTA BARAT
2790000000,METLAND PURI,5,4,2,100,160, JAKARTA BARAT
1280000000,PONDOK KELAPA,3,3,2,40,80, JAKARTA TIMUR
1600000000,JATI ASIH,4,3,1,106,200, BEKASI
680000000,CIKARANG,3,1,0,113,45, BEKASI
2750000000,SUKMAJAYA,4,3,1,120,110, DEPOK
5500000000,PANTAI INDAH KAPUK,3,3,2,140,210, JAKARTA UTARA
