No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
1,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
2,Y346 Rumah Baru 3 Lantai Modern Strategis Pondok Bambu Jakarta Timur,Rp 2 Miliar,"Pondok Bambu, Jakarta Timur",3,3,1,79 m²,200 m²,,
3,Rumah Furnishes Di Puri Mansion,"Rp 2,65 Miliar","Puri Mansion, Jakarta Barat",3,3,1,90 m²,140 m²,,
4,Rumah Cantik 2 Lantai Giri Loka 2,"Rp 4,6 Miliar","BSD Giri Loka, Tangerang",6,4,1,360 m²,300 m²,,
5,Penawaran Berapapun Di Pertimbangkan!!!*virginia Village Gs,Rp 1 Miliar,"Gading Serpong, Tangerang",2,2,1,48 m²,48 m²,,
6,Rumah Modern Terjangkau dekat GDC akses 10 menit ke Stasiun Depok,Rp 745 Juta,"Cilodong, Depok",2,2,1,74 m²,50 m²,,
7,Rumah Aesthetic Modern 3 Lantai,"Rp 1,55 Miliar","Jagakarsa, Jakarta Selatan",4,3,1,60 m²,145 m²,,
8,Dijual Rumah Termurah Di Cluster Edison By Summarecon Serpong,"Rp 1,8 Miliar","Summarecon Serpong, Tangerang",3,2,1,105 m²,114 m²,,
9,Rumah Baru Di Sunter,"Rp 4,2 Miliar","Sunter, Jakarta Utara",4,3,1,108 m²,180 m²,,
10,"Rumah Dijual 1,5 Lantai Kokoh Terawat Taman Surya 2 Lt 200m2","Rp 3,8 Miliar","Taman Surya, Jakarta Barat",5,2,2,200 m²,160 m²,,
11,Rumah Modern lokasi Strategis akses 12 menit ke Tol Desari ,Rp 843 Juta,"Sawangan, Depok",2,1,1,85 m²,40 m²,,
12,Dijual Cepat Rumah Di Pasirmulya Gunung Batu Bogor,"Rp 1,35 Miliar","Pasirmulya, Bogor",5,3,1,160 m²,200 m²,,
13,"Rumah Modern The Villas Kelapa Gading Square Moi Yang Sangat Prestius Rumah di Mall of Indonesia, Jl. Raya Boulevard Barat No.12 RT.18/RW.19, Kelapa Gading Barat, Kelapa Gading, Kota Jakarta Utara, DKI Jakarta, Indonesia, 14240, Kelapa Gading Bagus","Rp 3,6 Miliar","Kelapa Gading, Jakarta Utara",5,3,1,152 m²,238 m²,,
14,Rumah Murah 2 Lt Nempel Grand Depok City 10 Menit Stasiun Depok,Rp 799 Juta,"Cilodong, Depok",3,2,1,72 m²,66 m²,,
15,Rumah Mewah 2 Lantai Hrga Terjangkau Lokasi Dekat Mall Artha Gading,"Rp 1,2 Miliar","Sunter, Jakarta Utara",2,2,1,32 m²,55 m²,,
16,"Rumah Type Deluxe 5x10,5 Hadap Utara di Martinez Gading Serpong","Rp 1,3 Miliar","Gading Serpong, Tangerang",3,2,1,52 m²,52 m²,,
17,Rumah Baru 2 Lt 5 Menit Grand Depok City 10 Menit Stasiun Depok,Rp 800 Juta,"Cilodong, Depok",3,2,1,72 m²,66 m²,,
18,"Rumah Murah 2 lantai Modern Minimalis, Dekat Alun-Alun GDC, Depok",Rp 947 Juta,"Cilodong, Depok",2,3,1,60 m²,80 m²,,
19,"Cukup Booking Fee 3Jt,Town House Mewah Rangkapan Jaya Deket Pintu Tol DESARI Harga All In","Rp 1,2 Miliar","Cinangka, Depok",3,3,2,95 m²,107 m²,,
20,Rumah Siap Huni akses 10 menit ke Tol Kukusan dan Krukut,Rp 845 Juta,"Cinere, Depok",2,1,1,85 m²,40 m²,,
21,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
